ser,10000,verb,core_daily
estar,9800,verb,core_daily
tener,9600,verb,core_daily
hacer,9400,verb,core_daily
tiempo,9000,noun,core_daily
año,8800,noun,core_daily
persona,8200,noun,core_daily
nuevo,7900,adjective,core_daily
siempre,7700,adverb,discourse
pero,7600,phrase,discourse
porque,7500,phrase,discourse
sistema,7000,noun,academic
proceso,6800,noun,academic
política,6600,noun,civic_world
cultura,6400,noun,civic_world
texto,6200,noun,academic
argumento,6100,noun,discourse
coherencia,5800,noun,academic
racional,5600,adjective,academic
perspectiva,5400,noun,academic
